Character,Definition,pinyin,decomposition,radical,,,,,,,,,,,,,,,,,,,,,,,,,,,
举,to raise; to recommend; to praise,"""jǔ""",⿱兴扌,丶,,,,,,,,,,,,,,,,,,,,,,,,,,,
丿,slash,"""piě""",？,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乂,to govern; to control; to nurture,"""yì""",⿻丿？,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乃,then; really;indeed;after all,"""nǎi""",⿹？丿,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
久,long ago; a long time,"""jiǔ""",⿻勹？,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乇,to depend on;to entrust with,"""tuō""",⿱丿七,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
么,interrogative particle,"""me""",⿱丿厶,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
义,right conduct;propriety; justice,"""yì""",⿻丶乂,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
之,marks preceding phrase as modifier of following phrase; it;him her;them; to go to,"""zhī""",⿱丶？,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乌,crow;rook;raven; black;dark,"""wū""",⿱丿？,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乍,first time;for the first time;suddenly,"""zhà""",⿸丿⿻下一,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乎,interrogative or exclamatory final particle,"""hū""",⿻丿⿻？丷,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乏,poor; short;lacking; tired,"""fá""",⿱丿之,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐,cheerful;happy;laughing; music,"""lè""",⿻⿱丿？小,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乑,to stand side by side,"""yín""",⿱丿？,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乒,used with pong for ping pong,"""pīng""",⿱丘丿,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乓,used with ping for ping pong,"""pāng""",⿱丘丶,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乔,tall;lofty; proud;stately,"""qiáo""",⿱夭？,大,,,,,,,,,,,,,,,,,,,,,,,,,,,
乖,obedient;well-behaved; clever,"""guāi""",⿻千北,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乘,ride;mount; to make use of; to ascend; to multiply,"""chéng""",⿻禾北,丿,,,,,,,,,,,,,,,,,,,,,,,,,,,
乙,second; 2nd heavenly stem,"""yǐ""",？,乙,,,,,,,,,,,,,,,,,,,,,,,,,,,
乚,secret;hidden;mysterious; small;minute; to conceal,"""gōu""",？,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
乛,kwukyel,"""ya""",？,乛,,,,,,,,,,,,,,,,,,,,,,,,,,,
乜,to squint,"""miē""",⿻？乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
九,nine,"""jiǔ""",⿻丿乙,乙,,,,,,,,,,,,,,,,,,,,,,,,,,,
乞,to beg; to request,"""qǐ""",⿱？乙,乙,,,,,,,,,,,,,,,,,,,,,,,,,,,
也,also;too,"""yě""",⿻？乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
习,to study;to practice; habit,"""xí""",⿹？冫,冫,,,,,,,,,,,,,,,,,,,,,,,,,,,
乡,country;village; rural,"""xiāng""",幺,幺,,,,,,,,,,,,,,,,,,,,,,,,,,,
书,book;letter;document; writing,"""shū""",⿻？丨,丨,,,,,,,,,,,,,,,,,,,,,,,,,,,
乩,to divine,"""jī""",⿰占乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
买,to buy;to purchase; to bribe;to persuade,"""mǎi""",⿱乛头,大,,,,,,,,,,,,,,,,,,,,,,,,,,,
乱,anarchy;chaos; revolt,"""luàn""",⿰舌乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳,breast;nipples; milk; to suckle,"""rǔ""",⿰孚乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
乶,Pholha;a place in Korea,"""fǔ""",⿱甫乙,乙,,,,,,,,,,,,,,,,,,,,,,,,,,,
乹,to clean; to dry up,"""gān""",⿰龺乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
乾,arid;dry; to fertilize; to penetrate; heavenly generative principle (male),"""gān""",⿰龺乞,乙,,,,,,,,,,,,,,,,,,,,,,,,,,,
乿,to heal;to cure,"""zhì""",⿰⿱爫糸乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
亂,anarchy;chaos; revolt,"""luàn""",⿰⿳爫？⿵冂⿱厶又乚,乚,,,,,,,,,,,,,,,,,,,,,,,,,,,
亅,hook,"""jué""",？,亅,,,,,,,,,,,,,,,,,,,,,,,,,,,
了,clear; to finish; particle of completed action,"""le""liǎo",⿱乛亅,亅,,,,,,,,,,,,,,,,,,,,,,,,,,,
予,to give; to award,"""yǔ""",⿱？丁,亅,,,,,,,,,,,,,,,,,,,,,,,,,,,
争,to dispute;to fight;to contend;to strive,"""zhēng""",⿱⺈⿻彐亅,亅,,,,,,,,,,,,,,,,,,,,,,,,,,,
事,affair;matter;business; to serve; accident;incident,"""shì""",⿻⿳一口彐亅,亅,,,,,,,,,,,,,,,,,,,,,,,,,,,
二,two; twice,"""èr""",⿱一一,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亍,to take small steps; Korean place name,"""chù""",⿱一丁,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
于,at;in;on; to;from; alas!,"""yú""",⿻二亅,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亏,to lose;to fail; loss;damages; deficient,"""kuī""",⿱二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
云,cloud; to say;to speak,"""yún""",⿱二厶,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
互,mutually;reciprocally,"""hù""",⿴二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亓,that; surname,"""qí""",⿱二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
五,five; surname,"""wǔ""",⿴二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
井,well;mine shaft;pit,"""jǐng""",⿻二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亘,to extend across;through; from,"""gèn""",⿻二日,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亙,through; to extend across; to;from,"""gèn""",⿻二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚,Asia; second,"""yà""",⿱一业,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
些,little;few; rather;somewhat,"""xiē""",⿱此二,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亞,Asia; second,"""yà""",⿻二？,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亟,urgently;immediately;extremely,"""jí""",⿱⿻了叹一,二,,,,,,,,,,,,,,,,,,,,,,,,,,,
亠,lid;cover; head,"""tóu""",⿱丶一,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亡,death;destruction; to lose; to perish,"""wáng""",⿱亠？,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亢,high;proud; violent;excessive; skilled; surname,"""kàng""",⿱亠几,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
交,to connect; to deliver;to exchange; to intersect; to mix,"""jiāo""",⿱六乂,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亥,12th terrestrial branch; used in transliterations,"""hài""",⿱亠？,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亦,also;too; likewise,"""yì""",⿱亠？,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
产,to give birth;to bring forth;to produce,"""chǎn""",⿳亠丷厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亨,prospering;going smoothly,"""hēng""",⿳亠口了,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亩,fields; unit of area equal to 660 sq. m.,"""mǔ""",⿱亠田,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
享,to share; to enjoy; to benefit from,"""xiǎng""",⿳亠口子,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
京,capital city,"""jīng""",⿳亠口小,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亭,pavilion; erect,"""tíng""",⿱⿳亠口冖丁,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亮,bright;brilliant;radiant;light,"""liàng""",⿳亠口⿱冖几,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亲,relatives;parents; intimate; the hazelnut tree,"""qīn""",⿱立⿻一小,立,,,,,,,,,,,,,,,,,,,,,,,,,,,
亳,name of district in Anhui; capital of Yin,"""bó""",⿳亠口⿱冖乇,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亵,dirty;ragged; slight;insult;disrespect,"""xiè""",⿴衣执,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
亶,real;sincere;true; truth,"""dǎn""",⿱亠⿱回旦,,,,,,,,,,,,,,,,,,,,,,,,,,,,
